LX
100000.0000
99002.7280
98002.9236
97003.0858
96003.2180
95003.3258
94003.4162
93003.4956
92003.5694
91003.6403
90003.7109
89003.7853
88003.8681
87003.9666
86004.0880
85004.2394
84004.4275
83004.6543
82004.9180
81005.1765
80005.4365
79005.7000
78005.9684
77006.2434
76006.5244
75006.8112
74007.1023
73007.3946
72007.6855
71007.9725
70008.2540
69008.5321
68008.8092
67009.0904
66009.3831
65009.6975
64010.0445
63010.4312
62010.8626
61011.3408
60011.8674
59012.4465
58013.0842
57013.8222
56014.6854
55015.6972
54016.8787
53018.2543
52019.8557
51021.7100
50023.8490
49026.3009
48029.0041
47031.9733
46035.2209
45038.7591
44042.6011
43046.7630
42051.2644
41056.1282
40061.3811
39067.0531
38073.1776
37079.7929
36086.9432
35094.6795
34103.0612
33112.1573
32122.0494
31132.8356
30144.6335
29157.5852
28171.8621
27187.6675
26205.2363
25224.8323
24246.7461
23271.3000
22298.8605
21329.8529
20364.7775
19404.2193
18448.8932
17499.6187
16557.3197
15623.0235
14697.8566
13783.0378
12879.8729
11989.7447
11114.0954
10254.4108
9412.2023
8589.0070
7786.3919
7005.9643
6249.3749
5518.2690
4814.2192
4138.6590
3492.8434
2893.3432
2346.6343
1861.0009
1442.9023
1096.0866
821.0383
614.7622
470.9027
380.1981
331.2711
0
