IDEmpresa;Nombre Comercial;Web;Dirección;C.P.;Localidad;Provincia;HEART OF SPAIN
1902;JAMONES EL CHARRO;www.jamoneselcharro.es;CALLE JOSE HERNANDEZ 2;37657;SOTOSERRANO;SALAMANCA;
1964;EMBUTIDOS LEDESMA;www.embutidosledesma.com;POL. INDUSTRIAL LOS LLANOS AVDA. DE LEON PARC. 27;49027;ZAMORA;ZAMORA;
1987;LA ALCANCIA;www.la-alcancia.com;CALLE LA CANTARA 48;24358;VILLORIA DE ORBIGO;LEON;
2378;MORALEJO SELECCION;www.moralejoseleccion.es;CARRETERA TORDESILLAS N-122 KM. 449,5;49530;CORESES;ZAMORA;
2474;PALACIO DE LERMA;www.palaciodelerma.com;CARRETERA MADRID-IRUN KM. 203;09340;LERMA;BURGOS;
2944;BODEGAS GRUPO YLLERA;www.grupoyllera.com www.elhilodeariadna.es;CARRETERA A-6 MADRID-LA CORUÑA KM. 173,5;47490;RUEDA;VALLADOLID;
3266;BODEGAS GARCIA FIGUERO;www.tintofiguero.com;CARRETERA LA HORRA-ROA KM. 2,2;09311;HORRA (LA);BURGOS;
9368;DEL VAL GARCIA, LUIS MIGUEL;;CALLE HOSPITAL 5;09471;FUENTELCESPED;BURGOS;
30322;ABEJA BURGALESA;www.abejaburgalesa.com;CALLE PARQUE EMPRESARIAL INBISA LANDA EDIFICIO B NAVE 15;09001;BURGOS;BURGOS;
33260;QUESERIA VALDECABRAS;www.queseriavaldecabras.es;CALLE PARAJE LOS ROYARES S/N;05480;CANDELEDA;AVILA;
33337;QUESOS VALLELLANO;www.quesosvallellano.com;CALLE LOS ALARIFES 11;37300;PEÑARANDA DE BRACAMONTE;SALAMANCA;
33400;EMBUTIDOS ARTESANOS DE VILLAFUERTES;www.embutidosvillafuertes.com;CALLE LAVADEROS 7;09339;VILLAFUERTES;BURGOS;
33680;GRUPO VALDECUEVAS;www.valdecuevas.es;CAMINO BUENAVENTURA 1;47800;MEDINA DE RIOSECO;VALLADOLID;
33942;HEREDAD DE URUEÑA;www.heredaduruena.com;CARRETERA DE TORO-MEDINA KM. 21300;47862;URUEÑA;VALLADOLID;
35122;BODEGAS EL INICIO;www.bodegaselinicio.com;CALLE TERUEL 10;09400;ARANDA DE DUERO;BURGOS;
35851;HELADOS FEDE CUESTA;http://www.heladoscuesta.es/index.html;CALLE DISEMINADOS S/N;34114;VELILLAS DEL DUQUE;PALENCIA;
37111;QUESOS EL MOLINERO;www.quesoselmolinero.com;CARRETERA CENTENERA 2;40191;ESPIRDO;SEGOVIA;
38395;CLAUVAL ARTESANOS;http://www.clauvalartesanos.es/;CALLE DEMOCRACIA 17;47155;SANTOVENIA DE PISUERGA;VALLADOLID;
38655;EMBUTIDOS CILLAMAYOR;www.embutidoscillamayor.es;CALLE LAS ESCUELAS 1;34829;CILLAMAYOR;PALENCIA;
39615;WAMBA NUTS;;CALLE ESTADIO 7  1 B;47006;VALLADOLID;VALLADOLID;
190;CONFITERIA ALMARZA;www.confiteriaalmarza.com;CALLE ARCO DE LA VILLA 4;42200;ALMAZAN;SORIA;
272;QUESERIA ARTESANAL DE SACRAMENIA;www.queseriasacramenia.es;CALLE ERAS DE SAN ESTEBAN S/N;40237;SACRAMENIA;SEGOVIA;
354;BEHER;www.beher.com;CALLE ORIENTE 11;37770;GUIJUELO;SALAMANCA;
379;BODEGA COOPERATIVA DE CIGALES;https://bodegacigales.es/;CALLE LAS BODEGAS 3;47270;CIGALES;VALLADOLID;
574;BODEGAS SINFORIANO;www.sinforianobodegas.com;CARRETERA VILLALBA KM. 1;47194;MUCIENTES;VALLADOLID;
596;VALPINCIA;www.vinosdelaluz.com;CARRETERA PEÑAFIEL-MELIDA KM. 3,5;47300;PEÑAFIEL;VALLADOLID;
1007;CONSORCIO;www.lechedeoveja.com;CARRETERA ZAMORA-PALENCIA KM. 49;49630;VILLALPANDO;ZAMORA;AUTORIZADO
1187;EL GRAN CARDENAL;www.elgrancardenal.com;CALLE CAÑADA DE EXTREMADURA 9;47400;MEDINA DEL CAMPO;VALLADOLID;AUTORIZADO
1289;EMBUTIDOS ZAPATERO RAMOS;www.embutidoszapatero.com;CALLE LAS BODEGAS 21;49619;SAN PEDRO DE LA VIÑA;ZAMORA;
