anno_nac;edad_2012;qx_f;fac_f;qx_m;fac_m
1952;60;2,27157449;0,020265978;5,214492627;0,021581742
1951;61;2,719273681;0,020996237;5,963965076;0,02155272
1950;62;3,177724676;0,021787805;6,702620131;0,021633911
1949;63;3,612342304;0,022642395;7,425796135;0,021839273
1948;64;3,992017091;0,02356204;8,091977124;0,022177248
1947;65;4,326657805;0,024543182;8,675108407;0,022631596
1946;66;4,659864451;0,025472708;9,178520071;0,023065429
1945;67;5,049489172;0,026427066;9,647874616;0,023531767
1944;68;5,507987483;0,02737448;10,14981038;0,023982793
1943;69;6,051551294;0,028179224;10,75460918;0,024288095
1942;70;6,669949679;0,028906337;11,59327334;0,024514947
1941;71;7,383954395;0,029625281;12,76552076;0,024740944
1940;72;8,257076823;0,030011636;14,34800397;0,024665998
1939;73;9,327298621;0,030346829;16,35576563;0,024598127
1938;74;10,61803727;0,030516648;18,74485292;0,024451589
1937;75;12,17933531;0,030509562;21,50499955;0,024238864
1936;76;14,0724785;0,030215747;24,66175103;0,023864577
1935;77;16,34037856;0,029827383;28,33171756;0,023523312
1934;78;18,99759411;0,029240132;32,61185585;0,02309944
1933;79;22,10124542;0,028455263;37,56804896;0,022572837
1932;80;25,65798362;0,027581613;43,12551206;0,022024227
1931;81;29,76179378;0,026436617;49,29428081;0,021235488
1930;82;34,43291664;0,025345851;56,04780789;0,020504463
1929;83;39,78912742;0,024041028;63,32721275;0,019544561
1928;84;45,76252663;0,022756958;71,01651774;0,018581928
1927;85;52,37305615;0,021428267;78,93344155;0,017557735
1926;86;59,5269627;0,020086681;86,96453706;0,016510958
1925;87;66,99388121;0,018759262;94,97787631;0,015464668
1924;88;74,70611483;0,017467607;102,8314427;0,014431812
1923;89;82,71529587;0,016227662;110,3991576;0,013424437
1922;90;91,00055777;0,015049793;117,5683023;0,012453932
1921;91;99,28453306;0,01373894;124,3955484;0,011325564
1920;92;107,459584;0,012494932;133,0974965;0,010237659
1919;93;115,6873039;0,011313183;142,6859348;0,009187634
1918;94;127,7386836;0,010185897;154,9583241;0,00817697
1917;95;138,7554836;0,009103699;166,5600749;0,007208722
1916;96;150,532217;0,00805736;179,0365306;0,006281341
1915;97;163,1481052;0,00703925;192,4257965;0,005581341
1914;98;176,7120372;0,006044165;206,9396905;0,004881341
1913;99;191,2903424;0,005344165;222,5991268;0,004181341
1912;100;206,9956576;0,004644165;239,5389285;0,003481341
1911;101;223,9572017;0,004144165;257,9148547;0,002981341
1910;102;242,3237194;0,003644165;277,9074627;0,002481341
1909;103;262,2669857;0,003144165;299,7266938;0,001981341
1908;104;283,9859471;0,002644165;323,6172424;0,001481341
1907;105;307,7115571;0,002144165;349,8646839;0,000981341
1906;106;333,7122882;0,001644165;378,8021251;0,000481341
1905;107;362,3001402;0,001144165;410,8166832;0
1904;108;393,8366072;0,000644165;446,3541052;0
1903;109;428,7373041;0,000144165;485,9177294;0
1902;110;467,4723748;0;530,053478;0
1901;111;510,5564862;0;579,3028235;0
1900;112;558,5152106;0;634,0843676;0
1899;113;611,7996277;0;694,417984;0
1898;114;670,5887689;0;759,3062472;0
1897;115;734,3513224;0;825,4087903;0
1896;116;800,9065865;0;884,5799335;0
1895;117;864,5744447;0;922,0103792;0
1894;118;935;0;930;0
1893;119;1000;0;1000;0
1892;120;1000;0;1000;0
