anno_nac;edad_2012;qx_f;fac_f;qx_m;fac_m
2012;0;1,96384;0,04;1,9791825;0,04
2011;1;0,1308625;0,04;0,1254475;0,04
2010;2;0,11191;0,04;0,1083;0,04
2009;3;0,09386;0,04;0,0929575;0,04
2008;4;0,0785175;0,04;0,07942;0,04
2007;5;0,0658825;0,04;0,06859;0,04
2006;6;0,0568575;0,04;0,0604675;0,04
2005;7;0,0514425;0,04;0,055955;0,04
2004;8;0,0478325;0,039521181;0,0532475;0,04
2003;9;0,0478325;0,039077027;0,0532475;0,04
2002;10;0,048735;0,038832287;0,055955;0,04
2001;11;0,052345;0,038713133;0,06137;0,04
2000;12;0,05776;0,038636346;0,0694925;0,04
1999;13;0,063175;0,038533595;0,0821275;0,04
1998;14;0,0694925;0,038366451;0,09747;0,04
1997;15;0,0767125;0,038129296;0,11552;0,04
1996;16;0,0839325;0,037842473;0,135375;0,04
1995;17;0,092055;0,037541083;0,1579375;0,04
1994;18;0,0983725;0,037264149;0,1805;0,04
1993;19;0,102885;0,037045681;0,2012575;0,04
1992;20;0,106495;0,036907515;0,2193075;0,04
1991;21;0,1092025;0,036854462;0,232845;0,04
1990;22;0,1110075;0,036873384;0,243675;0,04
1989;23;0,113715;0,036937146;0,250895;0,04
1988;24;0,1164225;0,037012659;0,25631;0,04
1987;25;0,1200325;0,037070315;0,261725;0,04
1986;26;0,124545;0,037091076;0,2680425;0,04
1985;27;0,1308625;0,037068462;0,27436;0,04
1984;28;0,1380825;0,037004485;0,283385;0,04
1983;29;0,1471075;0,036901001;0,294215;0,04
1982;30;0,1579375;0,036750401;0,30685;0,04
1981;31;0,16967;0,036530816;0,3221925;0,04
1980;32;0,18411;0,036209624;0,33934;0,04
1979;33;0,2012575;0,03575459;0,359195;0,04
1978;34;0,222015;0,035147621;0,3835625;0,04
1977;35;0,2463825;0,034394722;0,4124425;0,04
1976;36;0,27436;0,033528015;0,44764;0,04
1975;37;0,30685;0,032599267;0,49096;0,04
1974;38;0,34295;0,031667219;0,54511;0,04
1973;39;0,3835625;0,030782397;0,61009;0,04
1972;40;0,4286875;0,029973852;0,687705;0,04
1971;41;0,48013;0,029241678;0,7770525;0,039187279
1970;42;0,53789;0,028557732;0,88084;0,038247101
1969;43;0,601065;0,027874488;0,9972625;0,037164244
1968;44;0,67146;0,02713922;1,1290275;0,035918241
1967;45;0,74727;0,026308991;1,2752325;0,03449585
1966;46;0,828495;0,025362207;1,43678;0,032898367
1965;47;0,91694;0,0243045;1,61367;0,031162036
1964;48;1,0108;0,023168723;1,8077075;0,02938632
1963;49;1,110075;0,022010011;2,0170875;0,027694695
1962;50;1,214765;0,020897262;2,243615;0,026182142
1961;51;1,323065;0,019902462;2,4863875;0,024918082
1960;52;1,4358775;0,019089456;2,745405;0,023940104
1959;53;1,5513975;0,018504302;3,0188625;0,023242052
1958;54;1,6687225;0,018169344;3,3076625;0,022771418
1957;55;1,7878525;0,018082272;3,61;0,022453436
1956;56;1,9069825;0,018220016;3,9231675;0,022216407
1955;57;2,0243075;0,018546039;4,243555;0,022019316
1954;58;2,1398275;0,019019135;4,564845;0,021843089
1953;59;2,25264;0,019601738;4,88794;0,021689835
